URL: https://npb.jp/bis/2015/stats/tmb_c.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
広　島,.264,143,5361,4798,557,1265,200,17,123,1868,532,68,40,85,34,402,24,42,1015,94,.389,.324
DeNA,.258,143,5340,4784,559,1233,254,13,136,1921,546,31,27,81,24,407,18,43,1028,107,.402,.320
ヤクルト,.254,143,5399,4708,625,1196,214,17,142,1870,603,70,32,90,27,513,22,61,1079,105,.397,.333
阪　神,.247,143,5265,4704,541,1164,208,23,121,1781,517,114,30,82,33,406,22,40,1082,95,.379,.311
巨　人,.242,143,5241,4692,552,1137,207,11,169,1873,532,65,36,48,27,431,22,43,1157,98,.399,.310
中　日,.237,143,5073,4595,405,1090,182,21,69,1521,381,60,36,98,23,326,26,31,973,104,.331,.291

URL: https://npb.jp/bis/2022/stats/tmb_c.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
広　島,.257,143,5394,4865,552,1248,200,25,91,1771,524,26,29,118,31,327,20,53,980,112,.364,.309
DeNA,.251,143,5275,4746,497,1190,228,12,117,1793,477,49,39,102,22,351,30,54,932,109,.378,.308
ヤクルト,.250,143,5446,4834,619,1209,210,20,174,1981,606,69,34,86,29,442,34,55,1118,102,.410,.318
中　日,.247,143,5284,4750,414,1172,208,27,62,1620,397,66,23,123,30,323,21,57,956,92,.341,.301
阪　神,.243,143,5323,4767,489,1160,152,21,84,1606,462,110,35,119,32,358,21,47,1020,90,.337,.301
巨　人,.242,143,5341,4788,548,1161,199,14,163,1877,533,64,32,73,15,429,25,36,1062,89,.392,.309

URL: https://npb.jp/bis/2023/stats/tmb_c.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
巨　人,.252,143,5352,4826,523,1218,204,14,164,1942,511,48,29,93,31,365,38,37,1111,94,.402,.308
DeNA,.247,143,5331,4783,520,1182,230,18,105,1763,503,33,26,106,31,355,22,56,846,103,.369,.305
阪　神,.247,143,5479,4775,555,1180,179,34,84,1679,534,79,29,106,47,494,35,57,1173,92,.352,.322
広　島,.246,143,5241,4728,493,1165,197,18,96,1686,476,78,50,96,20,349,25,48,1032,115,.357,.304
ヤクルト,.239,143,5358,4712,534,1128,212,11,123,1731,509,62,20,115,34,447,23,50,1096,112,.367,.310
中　日,.234,143,5251,4792,390,1123,186,19,71,1560,370,36,25,92,22,306,18,39,1029,97,.326,.285

URL: https://npb.jp/bis/2024/stats/tmb_c.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
DeNA,.256,143,5393,4863,522,1246,243,15,101,1822,508,69,27,85,31,360,38,54,922,114,.375,.313
巨　人,.247,143,5350,4752,462,1172,211,16,81,1658,447,59,25,125,28,409,37,36,972,89,.349,.309
中　日,.243,143,5277,4796,373,1166,178,18,68,1584,358,40,27,113,21,322,24,25,1046,106,.330,.293
ヤクルト,.243,143,5343,4696,506,1141,171,8,103,1637,483,67,16,137,32,436,31,42,1042,96,.349,.311
阪　神,.242,143,5335,4694,485,1137,164,17,67,1536,470,41,35,115,26,441,20,59,1028,120,.327,.314
広　島,.238,143,5193,4722,415,1126,167,19,52,1487,390,66,51,116,27,282,24,46,1001,89,.315,.286

URL: https://npb.jp/bis/2025/stats/tmb_c.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
巨人,.250,143,5364,4799,463,1198,206,17,96,1726,448,53,40,89,27,402,27,47,1087,81,.360,.312
DeNA,.247,143,5295,4772,510,1177,221,15,110,1758,493,66,31,82,39,346,36,56,957,99,.368,.303
広島,.246,143,5296,4817,441,1184,211,21,71,1650,416,57,40,88,22,325,29,44,1010,81,.343,.298
阪神,.245,143,5413,4770,496,1168,192,24,93,1687,460,100,41,136,25,441,43,41,1090,88,.354,.313
ヤクルト,.234,143,5331,4742,443,1110,202,15,90,1612,416,61,27,125,30,383,26,51,998,87,.340,.297
中日,.232,143,5245,4712,403,1092,189,25,83,1580,380,80,31,131,26,338,39,38,1089,66,.335,.287

URL: https://npb.jp/bis/2015/stats/tmb_p.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
ソフトバンク,.267,143,5559,4852,651,1294,217,22,141,1978,619,94,48,109,40,507,14,51,950,110,.408,.340
西　　武,.263,143,5497,4818,631,1265,243,21,136,1958,602,66,44,104,30,480,11,64,1194,84,.406,.335
日本ハム,.258,143,5469,4802,615,1238,205,27,106,1815,578,134,38,104,30,487,10,46,1031,90,.378,.330
ロッテ,.257,143,5362,4767,561,1227,203,34,85,1753,531,71,30,109,32,410,6,44,858,95,.368,.320
オリックス,.249,143,5380,4725,519,1175,184,16,94,1673,508,88,54,115,27,446,7,67,923,86,.354,.321
楽　　天,.241,143,5423,4777,463,1150,180,16,85,1617,440,118,60,105,35,445,10,61,926,96,.338,.311

URL: https://npb.jp/bis/2016/stats/tmb_p.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
日本ハム,.266,143,5550,4795,619,1277,179,13,121,1845,585,132,39,178,28,496,10,53,1076,79,.385,.340
西　武,.264,143,5536,4881,619,1287,219,19,128,1928,591,97,37,80,36,493,7,46,1071,97,.395,.335
ソフトバンク,.261,143,5526,4744,637,1240,188,30,114,1830,609,107,43,148,40,537,14,57,956,110,.386,.341
楽　天,.257,143,5441,4806,544,1234,170,32,101,1771,518,56,37,122,26,439,10,48,952,112,.368,.324
ロッテ,.256,143,5483,4810,583,1230,216,30,80,1746,559,77,29,120,34,461,14,58,964,102,.363,.326
オリックス,.253,143,5382,4747,499,1199,208,12,84,1683,475,104,50,154,25,399,12,57,910,93,.355,.317

URL: https://npb.jp/bis/2017/stats/tmb_p.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
西　武,.264,143,5445,4792,690,1264,236,28,153,2015,660,129,40,93,45,457,4,58,1029,95,.420,.332
ソフトバンク,.259,143,5382,4671,638,1208,202,32,164,1966,613,73,47,156,31,488,16,36,1019,78,.421,.331
楽　天,.254,143,5452,4812,585,1221,214,18,135,1876,553,42,27,105,22,473,10,40,1018,107,.390,.324
オリックス,.251,143,5411,4770,539,1197,190,23,127,1814,519,33,23,149,26,409,6,57,1032,105,.380,.316
日本ハム,.242,143,5385,4749,509,1147,189,18,108,1696,482,86,27,103,28,468,2,37,1122,95,.357,.313
ロッテ,.233,143,5286,4718,479,1098,215,29,95,1656,455,78,24,98,26,387,8,57,1099,85,.351,.297

URL: https://npb.jp/bis/2018/stats/tmb_p.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
西　武,.273,143,5638,4941,792,1351,244,29,196,2241,761,132,48,48,33,566,14,50,1103,79,.454,.352
ソフトバンク,.266,143,5445,4855,685,1290,217,39,202,2191,667,80,30,102,36,408,26,44,999,85,.451,.326
日本ハム,.251,143,5450,4759,589,1195,204,25,140,1869,566,98,24,86,35,512,18,58,1101,109,.393,.329
